Meals,Cal/gm,Carbs,Fat,Protein,Sugar,Fiber,Type,Breakfast,Lunch,Dinner,Type1,Type2,Veg,Non-veg
Chicken Tortilla Soup,216,26.1,2.7,23.7,2.5,6.2,Snack,0,0,1,0,1,0,1
Tomato and Basil Frittata,320,24,21,14,3,7,Lunch,1,0,0,0,1,0,1
Butternut Squash and Carrot Soup,128.8,23.3,2.7,6.5,6.5,5.8,Breakfast,0,1,0,0,1,1,0
Grilled Shrimp Skewers,306.3,4.5,15.4,36,2.8,0.2,Lunch,0,0,1,0,1,0,1
Blueberry spinach smoothie,202.8,47,1.2,4.4,35.4,5.5,Breakfast,1,0,0,1,0,1,0
Overnight oat meal,188.1,44.1,4.1,10.4,9.1,6.3,Dinner,1,0,0,1,0,1,0
Nut butter and fruit,190,8,16,7,3,2,Snack,1,0,0,1,0,1,0
Egg sandwich,338,35,14,21,4,3,Dinner,1,0,0,1,0,0,1
Sweet potato and chicken sausage hash,419.5,25.8,30.5,10.8,3.4,3,Dinner,1,0,0,1,0,0,1
Veagetable omlet,203.8,13.9,10.6,15.6,2.4,3.7,Dinner,1,0,0,1,0,0,1
Savory Oat meal,168.3,27.5,5.2,6.2,0.3,4,Dinner,1,0,0,1,0,0,1
Tacos,431.1,41,17.8,29.8,2.4,5.6,Lunch,1,0,0,1,0,1,0
Avocados toast,189,20,11,3.8,1.8,5.4,Breakfast,1,0,,1,0,1,0
Cottage cheese with fruit,219,10.4,8.7,24.2,5.4,0.5,Breakfast,1,0,0,1,0,1,0
Whole grain french toast,229,25,10.8,7.7,0,0,Lunch,1,0,0,1,0,0,1
Oats idli with coriander chutney,133,21.2,1.8,5.5,0,2,Breakfast,1,0,0,1,0,1,0
Sprout salad,56,9.8,0.3,3.7,0.2,5.4,Snack,1,0,0,1,0,1,0
Humus with maze tortillas,180,18.5,12.45,10.6,1.9,6.1,Dinner,0,1,1,1,0,1,0
chana masala,139,18.3,4.5,7.2,0.1,7.3,Lunch,0,1,0,1,0,1,0
Moong dal chilla,133,18.3,3.1,8,0,3.2,Dinner,1,1,0,1,0,1,0
Exotic veggie salad,182,11.5,11.6,5,0,4.05,Snack,0,1,1,1,0,1,0
Paneer patty,157,2.5,13,7,0,1,Lunch,0,1,1,1,0,1,0
Nutrie veg roll,158,15,8.3,5.2,0,2,Breakfast,0,1,1,1,0,1,0
Chicken chilly,101,1.3,5,13.2,12,2,Dinner,0,0,1,1,0,0,1
Low carb peanut butter cookies,210,5,18,8,4,3,Snack,0,1,0,0,1,1,0
Chocolate keto fat bombs,93,2.3,9.7,1.2,0.3,1.1,Snack,0,1,1,0,1,1,0
Protien cheese cake,142.3,5.4,7.6,11.6,1.3,0,Snack,0,1,1,0,1,1,0
strawberry lemonade pop sicles,40.3,9.7,0,0,9.4,0.2,Snack,0,0,1,1,0,1,0
Chocolate fudge,160,15,12,4,11,2,Snack,0,0,1,1,0,1,0
Keto brownie,116,3,11,2,1,1,Snack,0,1,0,1,0,0,1
Beef and bean chile verde,330.8,28.9,8.7,32.2,1.6,8.1,Lunch,0,0,1,0,1,0,1
Turkey saucage and arugula pasta,321,45.5,2.4,19.4,3.4,5.7,Lunch,0,0,1,0,1,0,1
chicken soup,157,16,1,22,0,2,Breakfast,0,0,1,0,1,0,1
Mushrooms ,22,3,0,3,0,1,Dinner,0,0,1,0,1,1,0
Chicken curry,387.4,26.3,16.2,35.3,0,9.3,Dinner,0,0,1,0,1,0,1
Parmesan chicken,320,20,19,17,8.8,2,Dinner,0,,1,0,1,0,1
Sesame beef,314.6,19,14.8,27.1,2.8,1.8,Dinner,0,0,1,0,1,0,1
Chicken saucage and salad,390,29,16.9,29,5.5,8.3,Snack,0,0,1,0,1,0,1
Baked shrimp parmesan,307.7,12.2,16.4,27.6,7,3,Dinner,0,0,1,1,0,0,1
Burrito bowl,136,9.1,6.2,11.35,1,1.8,Dinner,0,0,1,1,0,0,1
Asian selmon,279.4,11,12.3,25.2,3.8,0.7,Dinner,0,0,1,1,0,0,1
4 Eggs,296,1.4,19,30,1.4,0,Dinner,0,0,1,1,0,0,1
Lean meat,109,0,1.84,21.62,0,0,Lunch,0,0,1,1,0,0,1
Spinach and cheese rolls,240,27,12,6,0.6,0,Lunch,1,0,0,1,0,1,0
Marinated turkey breast,111,0,0.65,24.6,0,0,Lunch,0,0,1,1,0,0,1
